                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.57335,                0.45303,                0.96077,                0.98228,                0.99011,                0.99302,                0.87304,                0.51439,                0.36298,                0.93151,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.6272,                0.49051,                0.98675,                0.98229,                 0.9907,                0.99275,                0.87926,                0.50788,                0.36383,                0.92087,              0.0006536,              0.0006536,              0.0006536
                     70,                0.59659,                0.47064,                0.96885,                0.98245,                 0.9994,                0.99313,                 0.8886,                0.47412,                0.36214,                0.90467,              0.0006338,              0.0006338,              0.0006338
                     71,                0.55332,                 0.4574,                0.94657,                0.98153,                      1,                0.99357,                0.89396,                0.46806,                0.35351,                0.89844,               0.000614,               0.000614,               0.000614
                     72,                0.61096,                0.45961,                0.97764,                0.98847,                0.99107,                 0.9942,                0.87886,                0.49226,                0.34551,                0.90474,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.5634,                0.43464,                0.95444,                0.98908,                0.99107,                0.99402,                0.88629,                0.48166,                0.33701,                0.90295,              0.0005744,              0.0005744,              0.0005744
                     74,                0.59488,                0.45782,                0.97561,                0.98957,                      1,                0.99279,                0.89208,                0.45899,                0.32976,                0.90096,              0.0005546,              0.0005546,              0.0005546
                     75,                0.57504,                0.44469,                0.96515,                0.98777,                      1,                0.99111,                0.88698,                0.48356,                0.36793,                0.91803,              0.0005348,              0.0005348,              0.0005348
                     76,                0.57255,                0.43982,                0.96134,                0.93216,                0.98143,                0.98255,                0.83837,                0.57533,                0.50249,                0.94305,               0.000515,               0.000515,               0.000515
                     77,                0.54635,                0.42534,                0.95766,                0.94798,                0.99107,                0.98633,                 0.8588,                 0.5219,                0.44231,                 0.9248,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.5225,                0.40842,                0.94613,                0.97355,                0.98596,                0.99096,                0.88955,                0.46854,                0.37403,                0.91055,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.5274,                 0.4017,                0.93833,                0.97884,                      1,                0.99212,                 0.8927,                0.45789,                   0.34,                0.90588,              0.0004556,              0.0004556,              0.0004556
                     80,                0.56682,                 0.4207,                0.95946,                0.99089,                0.97109,                0.99194,                0.87375,                 0.4956,                0.34932,                0.91525,              0.0004358,              0.0004358,              0.0004358
                     81,                0.54488,                0.41044,                0.93972,                0.98097,                0.96429,                0.99094,                0.87447,                0.50827,                 0.3692,                0.91926,               0.000416,               0.000416,               0.000416
                     82,                 0.5454,                0.39569,                0.93257,                0.98178,                0.96201,                 0.9915,                0.88249,                0.49483,                0.36825,                0.91192,              0.0003962,              0.0003962,              0.0003962
                     83,                0.50642,                0.41477,                0.91235,                0.97319,                0.97223,                 0.9923,                0.88873,                0.48064,                0.35798,                0.90414,              0.0003764,              0.0003764,              0.0003764
                     84,                0.50804,                0.40689,                0.92713,                0.98182,                 0.9644,                0.99313,                0.88772,                0.47534,                0.33525,                0.90407,              0.0003566,              0.0003566,              0.0003566
                     85,                0.51661,                0.39596,                0.91729,                 0.9909,                0.97216,                0.99377,                0.89106,                0.47955,                 0.3211,                0.90603,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.5222,                0.39864,                0.94143,                0.99039,                0.97321,                0.99429,                 0.8835,                0.48019,                0.31384,                0.90716,               0.000317,               0.000317,               0.000317
                     87,                0.50974,                0.39929,                0.91763,                0.99098,                0.98147,                0.99455,                0.89079,                0.47632,                0.30888,                0.90884,              0.0002972,              0.0002972,              0.0002972
                     88,                0.46762,                0.38818,                0.90805,                0.98807,                0.99107,                0.99464,                0.89108,                0.45994,                 0.3015,                0.91337,              0.0002774,              0.0002774,              0.0002774
                     89,                0.58349,                0.43852,                0.96985,                0.99098,                0.98133,                0.99464,                0.88808,                0.46312,                0.30274,                0.92066,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.5069,                0.39625,                0.92323,                0.98926,                0.97321,                0.99429,                0.88079,                0.47222,                0.31231,                0.92591,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.4786,                0.39651,                0.90621,                0.98856,                0.97321,                0.99402,                0.87426,                0.48218,                 0.3218,                   0.93,               0.000218,               0.000218,               0.000218
                     92,                0.45424,                0.38657,                0.89788,                0.99107,                0.99105,                0.99438,                0.87905,                0.47465,                0.32867,                0.92809,              0.0001982,              0.0001982,              0.0001982
                     93,                0.46652,                0.38293,                0.90634,                0.99013,                0.99107,                0.99438,                0.87879,                 0.4701,                0.33381,                0.92783,              0.0001784,              0.0001784,              0.0001784
                     94,                0.45961,                0.38995,                0.90235,                 0.9903,                0.99107,                0.99446,                0.87358,                0.47182,                0.33777,                0.92929,              0.0001586,              0.0001586,              0.0001586
                     95,                0.44491,                0.38014,                0.89119,                0.99049,                0.99107,                0.99455,                0.87082,                0.47361,                0.33217,                0.93114,              0.0001388,              0.0001388,              0.0001388
                     96,                0.46019,                0.39711,                0.91356,                0.99106,                0.99001,                0.99446,                0.86736,                0.49548,                0.33419,                0.93879,               0.000119,               0.000119,               0.000119
                     97,                0.44551,                0.37435,                0.89051,                0.99106,                0.98985,                0.99446,                0.86635,                0.49556,                0.33145,                 0.9403,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.44921,                0.37149,                0.87519,                0.99106,                0.98981,                0.99438,                0.86955,                0.49099,                0.32765,                  0.939,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.44041,                0.37306,                0.89236,                0.99106,                0.98967,                0.99438,                0.87042,                0.48724,                0.32398,                0.93878,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.42351,                0.35567,                0.87857,                0.99105,                0.98827,                0.99446,                 0.8711,                0.48235,                0.32341,                0.93752,               3.98e-05,               3.98e-05,               3.98e-05
